0xE31FEB46, clientids_shared
0x45490BB0, godmode
0xD40C2532, noclip1
0x3751C037, teleportzombies
0x812B705C, plasmaloop
0x3980C36E, savelocation
0x96E7B2AD, thirdperson
0xF5718D68, clone
0x32490890, addbotstogame
0xB896CA3C, multijump
0xBAC7C504, superjump
0xDF2FE236, allsuperjump
0x94552BF0, superspeed
0x9A82A75F, bo4nofalldam
0xC75A6C18, antijoin
0xD4A3A745, antiquit
0x19E1ECBF, b4gravity
0xFB12546B, unlimitedammo
0x8E614A68, editplayerscore
0x3799D5F3, selfinstakill
0x80273A9F, restartmap
0xFBA2D3AB, killallzombies
0x6802828A, starttelegun
0xB06FCAB, teleporttocrosshair
0xCC451473, vector_scal
0x995A33DD, bo4freezebox
0x79865019, unlimitedsprint
0xE4BCA7ED, dropweapon
0x88F36FE7, unfair_toggleaimbot
0xBB2733AC, unfair_aimbot
0x54C3050A, maxrank
0x7F4C2F3B, level1000
0x32B4992A, achievements
0x70E20505, maxweaponranks
0xB035F0C5, unlockallchallenges
0x6533AB74, completeactivecontracts
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0x9284135D, init
0x64495C7, onplayerspawned
0xFF744AA4, initializevarsprecaches
0xFE82A6A3, playersetup
0xC41A2BD6, definevariables
0x79E76B77, runmenuindex
0x29DCBF65, menuoptionsplayer
0xA799E2BF, menumonitor
0x7F84C482, executefunction
0xA07F1FE6, drawtext
0x80D06FE2, refreshmenu
0xB75B4DEF, openmenu1
0x293FF04B, monitormenurefresh
0xE4F0A516, closemenu1
0x23AB70D1, destroyopts
0x4FFCACF7, menuarrays
0x6BC17C0, addmenu
0x34AC3143, addopt
0xDDD38791, addoptbool
0x36F1C5CA, addoptincslider
0xCC842204, addoptslider
0xE6756E11, newmenu
0x2CBD7F70, getname
0x717C7276, isinmenu
0x18F58E41, isinarray
0x1AFD2999, arrayremove
0x299FBB36, getcurrent
0xF67BF877, getcursor
0x7BF8F6D4, setcursor
0x89098611, setslider
0xD2679ABC, setincslider
0x875F164A, backmenu
0x367768C9, getplayerarray
0x6B75AB8B, spawnscriptmodel
0x73EF152F, setverification
0x54F10114, setverificationallplayers
0x4A91E9AA, getverification
0xC9566E3D, hasmenu
0x74408125, player
0x99E49F55, isdefined
0x3641C11C, undefined
0x8302B711, true
0x9B42093D, endon
0x53E0F7A2, enableinvulnerability
0x9DE6AA7C, compiler
0xC4C47E56, disableinvulnerability
0xFF4D9671, noclip
0xE318172C, disableweapons
0xE8D2BB2A, disableoffhandweapons
0x4975DD0E, origin
0xCFF5BF0B, nocliplinker
0xD7B4FA63, playerlinkto
0x64DE298A, isalive
0x793E8F76, attackbuttonpressed
0x95B18032, anglestoforward
0xED2C8382, getplayerangles
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x5726CFF0, unlink
0x16C816A0, delete
0x4117F7EE, enableweapons
0x29B19EE, enableoffhandweapons
0x1753A938, cf3fe035-d698-4c9f-9ad4-1a44eadbc21d
0xD17E78A6, 4b70cc4d-84e4-4a82-886d-d0b74c6b78ca
0xC41C9EBE, 1cc3a1b4-aece-469e-8310-28840282e42a
0xAC82A042, 907d3038-514e-416f-8761-1027ccf851ca
0x3B9F14F8, zombie
0x481B983D, getaiteamarray
0x9C3BDFFA, level
0x263C04C7, zombie_team
0xBA4A38B3, forceteleport
0x61F222E, iprintlnbold
0xF1CA5EF1, self
0x8D72F049, val
0x7085D850, angles
0xB580D605, savelocationangle
0x238A14E3, saveloctog
0x98858A45, iprintln
0xCD1FC6F5, setplayerangles
0x6342665C, setorigin
